h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
1.528833508,0.089922599,2,1.107769608,1,2.18,64724.19,139.06,55.63,-4500.73,5036.87,0.89,694.67,965.35,0.72,501.17,28306.67,0.02,14.1,0.26,41.73,0.91,1.37,2.37,3.81,3.05,4.55,4.93,0,0,0,0,1,0,0,0,0,0,0
1.211705565,0.169286624,2,0.951907337,2,5.97,98746.58,218.72,87.49,-7367.07,3962.69,1.86,-1163.24,904.92,1.29,649.01,21886.15,0.03,49,0.9,123.02,2.63,1.24,1.87,2.35,2.06,3.14,3.95,0,0,0,0,1,0,0,0,0,0,0
2.045927286,0.223308846,2,1.109464884,0,1.41,147025.43,325.75,130.3,-8789.62,6788.39,1.3,-1492.37,1031.88,1.45,809.83,28381.84,0.03,10.6,0.21,37.54,0.86,2.04,3.6,5.72,4.52,4.62,7.12,0,0,0,0,1,0,0,0,0,0,0
1.56597209,0.135888368,2,1.235417366,2,5.62,95168.17,206.35,82.54,-6730.21,5162.67,1.3,-1071.65,971.22,1.1,594.8,34288.72,0.02,31.6,0.58,77.55,1.66,1.33,2.08,3.16,2.47,3.88,4.78,0,0,0,0,1,0,0,0,0,0,0
2.089410782,0.186215192,7,0.965552151,0,4.18,134561.19,301.46,120.58,-10801.18,6935.68,1.56,2447.7,1036.28,2.36,101.4,22409.42,0.01,22.1,0.4,70.3,1.47,2.73,3.03,3.95,3.8,4.82,12.35,0,0,0,0,1,0,0,0,1,0,0
2.757819414,0.137003228,2,0.880145669,0,2.94,115407.81,256.63,102.65,-7306.87,9199.74,0.79,-1302.82,1089.18,1.2,589.43,19256.72,0.03,12.4,0.23,45.99,0.99,2.26,3.63,5.26,4.2,4.63,7.33,0,0,0,0,1,0,0,0,1,0,0
1.628214002,0.161609232,4,1.053170681,0,1.65,99300.55,220.27,88.11,-6443.47,5373.5,1.2,-1096.46,980.62,1.12,208.63,25946.97,0.01,18.3,0.35,56.17,1.27,1.92,3.23,4.26,4.14,4.93,9.4,0,0,0,0,1,0,0,0,0,0,0
1.036193967,0.161393642,2,0.812755346,3,6.96,94519.37,210.8,84.32,8294.4,3368.19,2.46,1107.61,860.92,1.29,880.94,16975.02,0.05,161.2,2.76,527.67,10.55,0.9,1.4,2.14,1.36,2.32,2.99,0,0,0,0,0,0,0,0,0,1,0
2.195686817,0.113781914,4,1.181995749,2,6.49,91045.91,199.8,79.92,-5977.19,7295.66,0.82,-1049.86,1046.43,1,239.49,31705.88,0.01,22.5,0.41,45.39,0.96,1.62,3.52,4.05,3.38,6.78,9.73,0,0,0,0,1,0,0,0,0,0,0
0.930269241,0.238569349,7,0.561006069,0,1.08,105358.88,238.23,95.29,-6054.01,3009.4,2.01,1371.3,829.23,1.65,208.15,10058.15,0.02,49.8,0.98,153.37,3.52,1.11,1.96,3.37,2.56,3.26,7.45,1,0,0,0,1,0,0,0,0,0,0
2.095574617,0.169942558,2,1.152029753,3,6.51,135531.81,299.07,119.63,11654.79,6956.56,1.68,1378.27,1036.89,1.33,1191.57,30307.05,0.04,41.9,0.72,140.22,2.82,1.62,2.9,3.7,2.52,4.07,5.37,0,0,0,1,0,0,0,0,0,1,1
1.286957622,0.216052428,4,0.738498032,1,5.04,128967.37,290.6,116.24,-5534.99,4217.58,1.31,-1125.63,921.18,1.22,297.38,14671.18,0.02,20.7,0.35,50.74,1.01,1.69,2.41,3.07,3.69,4.16,5.5,0,0,0,0,0,0,0,0,1,0,0
0.953786254,0.16627948,2,1.001874804,1,6.77,101351.88,223.98,89.59,-6964.56,3089.05,2.26,1030.34,836.65,1.23,971.97,23838.66,0.04,79.3,1.31,264.41,5.1,0.9,1.61,1.8,1.56,2.66,3.34,0,0,0,0,0,0,0,0,1,0,0
1.575402737,0.130241945,5,0.876198173,0,2.16,80812.85,180.13,72.05,-6097.68,5194.62,1.17,1128.72,972.68,1.16,129.52,19118.06,0.01,24.2,0.46,76.35,1.69,2.1,2.85,3.69,3.62,4.93,10.18,0,0,0,0,1,0,0,0,1,0,0
1.899658203,0.2263062,2,1.301403999,2,4.46,154968.11,340.82,136.33,-9861.78,6292.95,1.57,-1615.22,1015.94,1.59,906.81,37636.64,0.02,21.3,0.4,52.77,1.15,1.65,2.53,3.64,2.96,4.56,5.81,0,0,0,0,1,0,0,0,0,0,0
